playerID,name,gamesPlayed,scores,assists,goals,plusMinus,completions,completionPercentage,hockeyAssists,throwaways,stalls,drops,blocks,callahans,pulls,yardsTotal,yardsThrown,yardsReceived,hucksCompleted,huckPercentage,minutesPlayed,possessions,oEfficiency,pointsPlayed,oPointsPlayed,dPointsPlayed
wfrankenb,Walker Frankenberg,11,56,30,26,40,289,93.23,23,17,0,3,4,0,0,4883,2047,2836,6,66.67,250,286,51.05,232,232,0
jthorne,Jake Thorne,11,40,5,35,37,94,92.16,14,6,0,1,4,0,0,2391,309,2082,1,100.00,232,271,55.72,226,213,13
dburns,Dylan Burns,13,36,14,22,30,180,95.74,14,7,0,2,3,0,0,2998,864,2134,3,60.00,288,334,53.59,272,271,1
radkins,Raekwon Adkins,7,37,6,31,30,160,95.81,15,7,0,1,1,0,0,2761,406,2355,1,50.00,154,174,58.05,149,149,0
emagsig,Evan  Magsig,13,56,46,10,29,680,94.18,42,36,0,0,9,0,8,7088,6214,874,35,70.00,311,355,53.52,302,282,20
jvallee,Jason Vallee,10,40,26,14,28,280,95.24,23,14,0,1,3,0,0,3064,1362,1702,4,80.00,233,268,50.75,213,209,4
lgrench,Lincoln Grench,11,24,9,15,22,65,92.86,5,5,0,2,5,0,0,1010,396,614,2,100.00,162,129,48.84,158,38,120
arosentha,Aaron Rosenthal,12,16,4,12,21,41,89.13,8,4,0,0,9,0,0,941,254,687,1,50.00,203,116,52.59,184,25,159
mwilliams,Max Williams,7,24,10,14,19,101,95.28,11,4,0,3,2,0,0,1778,406,1372,3,100.00,152,181,54.70,155,149,6
rvickersb,Robin Vickers Batzdorf,13,16,5,11,19,129,92.81,10,8,0,0,11,0,75,679,611,68,3,100.00,296,153,52.29,275,15,260
dritthale,Daniel Ritthaler,11,22,13,9,18,146,92.99,4,9,0,1,6,0,0,1413,936,477,4,50.00,183,142,47.18,171,45,126
mburke1,Matthew Burke,13,11,7,4,18,47,94.00,4,3,0,0,10,1,5,996,433,563,2,100.00,242,115,53.04,220,0,220
wberreman,Wyatt Berreman,13,8,1,7,14,27,93.10,5,2,0,0,8,0,0,502,18,484,0,,222,99,53.54,206,0,206
acurry,Aidan Curry,7,17,7,10,13,82,94.25,3,5,0,2,3,0,0,1332,512,820,2,40.00,145,163,55.21,137,130,7
ekerns,Eli Kerns,6,19,15,4,9,88,85.44,4,15,0,1,6,0,88,1137,863,274,8,42.11,135,91,51.65,124,18,106
rhuang,Ridge Huang,4,16,10,6,9,171,95.53,10,8,0,0,1,0,0,1707,1262,445,5,83.33,83,97,65.98,87,87,0
clung,Chris Lung,9,34,24,10,8,285,90.76,16,27,0,3,4,1,1,3163,2220,943,14,70.00,197,225,47.11,177,168,9
jbruner,Jace Bruner,8,5,3,2,8,39,88.64,5,4,0,0,7,0,0,455,64,391,0,,128,97,45.36,118,32,86
msommer,Morgan Sommer,10,5,3,2,8,41,87.23,6,5,0,0,8,0,0,758,328,430,0,,145,115,50.43,132,35,97
jmalenfan,Jonah Malenfant,7,5,4,1,7,17,89.47,2,2,0,0,4,0,30,417,208,209,1,100.00,101,69,50.72,97,12,85
cbauman,Conor Bauman,12,10,8,2,6,88,92.63,5,7,0,1,4,0,32,641,676,-35,3,75.00,201,91,54.95,171,0,171
dnice,Dylan Nice,4,8,2,6,6,8,80.00,1,2,0,1,1,0,0,352,129,223,2,66.67,49,38,47.37,44,8,36
ichang,Itay Chang,4,5,4,1,6,60,96.77,3,0,1,0,1,0,0,379,172,207,1,50.00,60,48,54.17,60,18,42
ryeagle,Robert Yeagle,9,5,2,3,6,13,92.86,2,1,0,1,3,0,0,178,18,160,0,0.00,127,52,57.69,109,0,109
jlim,Justin Lim,7,5,2,3,4,47,95.92,2,2,0,0,1,0,0,344,268,76,1,100.00,105,70,52.86,98,33,65
sdolan,Stephen Dolan,4,1,0,1,4,11,100.00,2,0,0,0,3,0,0,203,25,178,0,,51,31,41.94,46,3,43
gschwartz,Gabriel Schwartz-Ketchner,3,0,0,0,3,5,100.00,1,0,0,0,3,0,1,33,6,27,0,,41,16,75.00,35,0,35
cmires,Cole Mires,1,1,0,1,2,4,80.00,0,0,0,0,1,0,0,51,0,51,0,0.00,10,8,62.50,12,1,11
rcastro,Rafael Castro,3,1,1,0,1,3,75.00,0,0,0,0,0,0,0,94,38,56,1,100.00,40,21,33.33,36,0,36
dclyburn,Dexter Clyburn,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0
gmay,Gavin May,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0
klaurence,Keenan Laurence,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0
plaurie,Payton Laurie,5,2,1,1,0,5,62.50,0,3,0,0,1,0,0,155,19,136,0,0.00,69,34,55.88,64,1,63
skapalan,Sam Kapalan,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0
vzhou,Victor Zhou,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0
awulkan,Adam Wulkan,4,2,1,1,-1,12,80.00,1,2,0,1,0,0,19,236,155,81,2,100.00,54,26,53.85,44,2,42
sthompson,Sawyer Thompson,8,8,5,3,-4,49,81.67,2,11,0,4,3,0,15,1032,492,540,4,50.00,123,100,49.00,121,37,84
