teamID,teamName,gamesPlayed,wins,losses,scoresFor,scoresAgainst,completions,turnovers,blocks,completionPercentage,holdPercentage,oLineConversionPercentage,breakPercentage,dLineConversionPercentage,huckCompletions,huckPercentage,redZoneConversionPercentage
breeze,Breeze,13,11,2,268,214,3676,155,107,95.95,74.04,62.82,32.41,62.25,67,58.77,82.64
cascades,Cascades,14,11,3,309,253,3530,225,161,94.01,65.11,55.02,38.32,59.81,91,71.65,85.08
flyers,Flyers,14,11,3,301,249,3716,215,141,94.53,71.79,60.12,32.31,53.85,119,63.30,84.55
glory,Glory,14,10,4,253,217,3797,181,123,95.45,69.75,55.52,31.64,62.59,75,65.22,80.09
hustle,Hustle,13,10,3,277,225,3400,154,136,95.67,74.39,62.89,31.76,59.49,97,66.90,86.96
shred,Shred,13,10,3,279,249,3414,212,129,94.15,64.81,52.08,34.55,60.47,90,60.81,83.48
windchill,Wind Chill,13,10,3,273,224,2801,220,149,92.72,70.33,55.63,34.36,52.08,88,55.00,82.69
radicals,Radicals,14,9,5,295,253,3246,253,185,92.77,62.27,48.16,39.18,58.69,115,63.89,80.75
empire,Empire,13,8,5,257,225,3285,166,103,95.19,68.57,60.43,32.01,57.79,76,57.58,84.69
spiders,Spiders,13,8,5,270,258,3267,245,129,93.02,65.58,50.99,30.17,52.66,109,65.27,81.34
sol,Sol,13,7,6,282,255,3036,235,113,92.82,69.42,54.37,29.70,53.57,109,64.50,82.81
union,Union,13,7,6,238,213,3749,252,141,93.70,64.96,51.53,33.33,43.00,97,59.51,78.18
alleycats,AlleyCats,12,6,6,245,249,4647,204,128,95.79,65.04,52.42,27.38,57.14,64,54.70,80.49
summit,Summit,12,6,6,244,227,3535,205,108,94.52,67.47,54.55,29.12,51.70,91,61.07,80.37
havoc,Havoc,12,5,7,204,267,2863,299,121,90.54,53.15,41.64,22.97,35.66,89,55.97,71.08
phoenix,Phoenix,12,5,7,209,232,3442,190,90,94.77,59.92,50.67,25.44,55.24,99,67.35,82.35
growlers,Growlers,12,4,8,246,251,2747,216,98,92.71,65.06,53.19,26.52,51.47,106,63.10,78.65
royal,Royal,12,4,8,211,229,2946,242,97,92.41,60.00,48.08,26.41,41.22,89,65.93,74.69
thunderbirds,Thunderbirds,12,4,8,209,233,3153,238,96,92.98,57.65,44.41,27.07,49.21,83,52.20,76.61
aviators,Aviators,12,3,9,221,262,3319,235,106,93.39,59.79,48.86,20.58,43.10,96,57.83,76.32
mechanix,Mechanix,12,1,11,189,301,2950,334,101,89.83,45.91,35.27,20.67,37.72,88,50.87,70.87
nitro,Nitro,12,1,11,202,284,2774,265,83,91.28,52.44,42.59,18.22,43.62,112,56.00,77.91
rush,Rush,12,1,11,203,256,2885,225,107,92.77,58.70,47.65,18.55,42.27,85,62.96,77.03
legion,Legion,12,0,12,210,269,2831,296,120,90.53,58.33,41.79,17.95,37.50,104,63.03,71.24
